title,abstract,domain,technologies,Year,source_url
DungeonDreams,This is my very first game made in Unity. It was intended as project for final exams at high school. This game is still in development and will be bigger and funnier.,Multiple / Unknown,,,https://github.com/QuakyCZ/DungeonDreams
EasyGo-Admin,This is an android application designed for admin to manage all details of EasyGo app.,Web / Mobile,android,,https://github.com/Ajinkya-Kardile/EasyGo-Admin
bookify,🚀 Bookify is a modern JavaFX desktop app for students and educators—perfect for university projects🚀 Bookify is a modern JavaFX desktop app for students and educators—perfect for university projects.,Multiple / Unknown,,,https://github.com/PanagiotisPitsikoulis/bookify
FInal_Year_Project,群体行为识别研究,Multiple / Unknown,,,https://github.com/CShowww/FInal_Year_Project
Election,Student Election Management System,Multiple / Unknown,,,https://github.com/Aristocratjnr/Election
SmartRide-BussPassMS,bus pass management system. this is final year project,Multiple / Unknown,,,https://github.com/ZahidAkbar2370/SmartRide-BussPassMS
AI_Resume_Analyzer,"The AI Resume Analyzer is a Streamlit-based application that provides detailed resume analysis, skill recommendations, job search tools, and career insights. Utilizing NLP and machine learning, it helps users identify strengths and improvement areas, suggest relevant courses, and find job opportunities tailored to their profiles.",NLP / AI,nlp,,https://github.com/Radom12/AI_Resume_Analyzer
pestdetection,"it is a 🌿 real-time pest detection system for urban gardens. It uses the lightweight 🤖 YOLOv8 Nano model to identify pests like 🐜 aphids and 🦟 fruit flies, optimized for edge devices like the 🍃 Raspberry Pi 4.",Computer Vision / AI,"raspberry,yolov8",,https://github.com/therajsekharsaha/pestdetection
CodeQuest-SearchEngine,"CodeQuest Search is a powerful full-stack web application that allows users to search for coding problems from popular platforms like LeetCode, Codeforces, and CodeChef. By implementing web scraping and the TF-IDF algorithm, this tool provides accurate and relevant coding problem recommendations based on user queries.",Multiple / Unknown,,,https://github.com/GaganReddyin/CodeQuest-SearchEngine
Car-Price-Prediction-Project,Car Price Prediction Project through Machine Learning Algorithm with Video Implementation,AI / ML,,,https://github.com/Vatshayan/Car-Price-Prediction-Project
Smart_wireless_water_meter_with_Web_DB,"💧 An IoT-based Smart Water Meter system for real-time monitoring of water quality (pH, TDS) and flow rate using ESP32 and Arduino UNO. It includes automatic motor control, cloud logging via ThingSpeak, and a web dashboard for remote access.",IoT / Embedded,"arduino,iot",,https://github.com/Sandeepkumar-S-18/Smart_wireless_water_meter_with_Web_DB
poetryQuery,当代大学生网页设计期末项目，jQuery+php+mysql。需要借鉴的同学快来看看吧！,Multiple / Unknown,"mysql,php",,https://github.com/aicorein/poetryQuery
A-Novel-Approach-for-Hand-Gesture-Recognition-Volume-Control,This project presented a program that allowed user to perform hand gestures for easy Volume control. It is a vision-based hand Gesture system that does not require any special markers or gloves and can operate in real-time on a commodity PC/ laptop with low-cost cameras.​,Computer Vision / AI,,,https://github.com/pandeyshambhavi/A-Novel-Approach-for-Hand-Gesture-Recognition-Volume-Control
ActivityMoodTracker,Final year project application developed using react native,Web / Mobile,react,,https://github.com/hashirahmad/ActivityMoodTracker
laundry_managment_system,"The Laundry Management System is a comprehensive solution designed to streamline and enhance the management of laundry operations. This system aims to simplify the process of managing laundry requests, inventory, billing, and customer communication.",Multiple / Unknown,,,https://github.com/MeetSherasiya/laundry_managment_system
trash-to-treasure-mobile-client-app,"Part of my Final Year Project (FYP), this mobile app rewards users for recycling by scanning QR codes, tracking recycling history, and redeeming points at partnered stores. Integrated with an AI-based Trash Classification Module, it promotes sustainability through gamification and real-time tracking.",Web / Mobile,,,https://github.com/imamaaa/trash-to-treasure-mobile-client-app
Computer-Automation,Computer Automation using OpenCv and MediaPipe - Virtually controlling computer using hand-gestures and voice commands.,Computer Vision / AI,opencv,,https://github.com/gaurav-aditya/Computer-Automation
Final-year-project,This is my final year project,Multiple / Unknown,,,https://github.com/SubramanyaKS/Final-year-project
My-Netflix-Application,"This project is a movie real-world web application that involves five main parts: Frontend using React, Backend using Node & Java to provide REST APIs management and finally two Databases modeling using MongoDB and PostgreSQL.",Web / Mobile,"java,mongodb,react",,https://github.com/pehaikal/My-Netflix-Application
Questioner,An Offline Android Quiz Project,Web / Mobile,android,,https://github.com/Vinayak-09/Questioner
Software-supply-chain-security,Capstone project assessing the current state of the software supply chain in open-source projects,Multiple / Unknown,,,https://github.com/santiago-mooser/Software-supply-chain-security
DARSHAN-Device-for-Avoidance-of-Remotely-Sensed-Hurdles-and-Navigation-using-Python,This repository contains the files of my undergrad Major project.,Multiple / Unknown,,,https://github.com/ranjith-dhananjaya/DARSHAN-Device-for-Avoidance-of-Remotely-Sensed-Hurdles-and-Navigation-using-Python
live-electronic-voting,Live voting system for use in university lecture settings.,Multiple / Unknown,,,https://github.com/sb-haz/live-electronic-voting
LockDawn-Completed-Script,LockDawn: An Android-Based 3D Adventure Game In Understanding The Importance Of Safety Protocols For The COVID-19 Pandemic,Web / Mobile,android,,https://github.com/edzenfrance/LockDawn-Completed-Script
Block-Certify,"A blockchain-based certificate generation and validation system that securely issues certificates, stores them using SHA-256 hashing, and enables tamper-proof verification.",Blockchain,blockchain,,https://github.com/sujitmahapatra/Block-Certify
10-Web-Development-Project-Ideas-for-2025,"Web development projects encompass a wide range of ideas, from simple websites to complex. Top 10 Web Development Projects . Project Includes Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",Multiple / Unknown,,,https://github.com/Projects-Developer/10-Web-Development-Project-Ideas-for-2025
NGX,Social Distancing System using NAO and AI,Multiple / Unknown,,,https://github.com/moj124/NGX
MTG-Card-Shop,Projekt neve: MTG CardShop ⠀ ⠀ Készítők: @AsuraMTG @Benyi5    Érettségi projekt: 2025 májusi szakmai érettségi vizsgaremek,Multiple / Unknown,,,https://github.com/AsuraMTG/MTG-Card-Shop
video-steganography,This is a final year project created by CSIT students for 7th semester. It is a simple website that can hide text inside videos or images.,Computer Vision / AI,,,https://github.com/whyme-duh/video-steganography
Cyber-Threat-Detection-Using-Machine-Learning,"Cyber threat detection using machine learning is a proactive approach to cybersecurity that involves training machine learning algorithms. Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI / ML,,,https://github.com/Projects-Developer/Cyber-Threat-Detection-Using-Machine-Learning
multiple-event-listener-javascript,An Event listener for multiple javascript elements,Web / Mobile,javascript,,https://github.com/JPrendy/multiple-event-listener-javascript
pcb_defect_analysis,"A PCB analysis tool that uses a referential approach for localization and identification of PCB defect, by leveraging an EfficientNet-b4 classifier, to detect defects in a PCB board. This project is part of my undergrad thesis project. Further details can be found in the Final_Year_Project_Thesis-Google Docs.pdf.",Multiple / Unknown,,,https://github.com/PradyumnaGupta/pcb_defect_analysis
Think-Thank-Thunked,Repo for making APCS Spring Semester final project,Multiple / Unknown,,,https://github.com/PGreatness/Think-Thank-Thunked
smart_irrigation_system,Codes for my academic project,Multiple / Unknown,,,https://github.com/Pranav108/smart_irrigation_system
Covid-19-Mobile-Updater-App,The Application is developed to fight against the misinformation and fake news spread during the sensitive moment of pandemic.,Multiple / Unknown,,,https://github.com/JoykishanSharma/Covid-19-Mobile-Updater-App
Instareach,,Multiple / Unknown,,,https://github.com/trishaamandal/Instareach
MicroECG,"MicroECG is a final year project – a low-cost, WiFi-enabled, single-lead ECG monitor built with ESP8266 and AD8232. It streams real-time heart data to any browser using a captive portal and WebSocket—no apps, no internet, no external setup. It includes parameter extraction, recording, and optional AI-based anomaly detection.",Multiple / Unknown,,,https://github.com/Raju-Adhikary/MicroECG
FYP-COMP30910-MSCP,"The data, code and thesis for my own undergraduate thesis in the ""FYP: Design and Implementation (COMP30910)"" module.",Multiple / Unknown,,,https://github.com/wiknwo/FYP-COMP30910-MSCP
TopByYou,Find top products ranked by you,Multiple / Unknown,,,https://github.com/gustavozapata/TopByYou
aida,Your digital assistant for meeting new people 👬🏼,Multiple / Unknown,,,https://github.com/pavsidhu/aida
umt-fellow-web,A full-stack social forum built for Universiti Malaysia Terengganu.,Multiple / Unknown,,,https://github.com/PhymasSC/umt-fellow-web
grade-your-code-fyp,"It was a long-term one year (Final Year Project - Bachelor Thesis) project for my bachelors degree. All the learning of Computer Science concepts, theories and research have been applied in this project. Grade Your Code is an online platform where teachers can make programming questions or pick questions from a library of programming questions and post a quiz comprising of these questions. They also decide the grading criteria for every question according to test cases. Plagiarism rate is mentioned by the instructor. On the student&#39;s side, there is a compiler, which lets student to try the",Multiple / Unknown,,,https://github.com/FawadJawaid/grade-your-code-fyp
duck-duck-leaks,"A web-based tool for detecting sensitive data leaks in GitHub repositories and web applications, featuring advanced scanning, source gathering, and a user-friendly GUI.",Multiple / Unknown,,,https://github.com/AATHILDUCKY/duck-duck-leaks
Face-Mask-Detection-Project,"Final Year Face Mask Detection Project. This project Include PPT, Synopsis, Video, Report and Project Code.",Multiple / Unknown,,,https://github.com/Vatshayan/Face-Mask-Detection-Project
pfe-clothing-online,online store - laravel,Multiple / Unknown,,,https://github.com/radouane-tamouss/pfe-clothing-online
Movie-recommender-bot,"MovieBot. A Movie Recommendation Bot built with Flask, HTML CSS, and Cosine Similarity ML Model!",Web / Mobile,"css,flask,html",,https://github.com/KG-1510/Movie-recommender-bot
Third-Year-MERN-Project,"This project is a comprehensive solution for managing a final year collage project using modern web technologies. It utilizes the MERN stack (MongoDB, Express.js, React.js, Node.js) for backend and frontend development, Redux for state management, Firebase for google authentication and real-time database features, and Tailwind CSS for styling. :)",Web / Mobile,"css,mongodb,react",,https://github.com/babanigit/Third-Year-MERN-Project
qu-thesis-template,An unofficial thesis template at Qassim University. All final year project students are encouraged to use this template for consistency across all projects.,Multiple / Unknown,,,https://github.com/coc-it/qu-thesis-template
MRUEats,An UberEats clone designed and developed as a Prog IV: Software Engineering final project,Multiple / Unknown,,,https://github.com/chrisStepien/MRUEats
Capstone_final_year_project,This is our final year ongoing work.,Multiple / Unknown,,,https://github.com/Nowshin1077/Capstone_final_year_project
ChromaticScan,A ResNet 34-based Algorithm for Robust Plant Disease Detection with 99.2% Accuracy Across 39 Different Classes of Plant Leaf Images.,Computer Vision / AI,,,https://github.com/SaiJeevanPuchakayala/ChromaticScan
timetracker_2023_Django,"A time tracking app is an essential time management tool that can help you and your team become more organized, efficient, and get more things done. Time tracking app will generate almost all the reports that make organizations men power in most productive.",Multiple / Unknown,,,https://github.com/RushabhShahPrograms/timetracker_2023_Django
IMAG,CRIAÇÃO DE UMA PÁGINA WEB PARA GESTÃO ESCOLAR,Multiple / Unknown,,,https://github.com/JoshuaDaCosta/IMAG
ayamku-admin,Food Outlet AyamKu Delivery Admin App for Final Year Project,Multiple / Unknown,,,https://github.com/Fadzaa/ayamku-admin
ftms,"Family Tree Management System for managing your family, designed using PHP.",Multiple / Unknown,php,,https://github.com/KabriAcid/ftms
3D-Graphics-Engine-Using-OpenGL,"3D High performance Graphics Engine using OpenGL. Bin-Phong Light system , gltf model loader. ONLY USE TO EDUCATIONAL PURPOSE ,feel free to contribute",Multiple / Unknown,,,https://github.com/Asthraris/3D-Graphics-Engine-Using-OpenGL
Nyumbani-Landlords,"Nyumbani is a property management solution built using ASP.NET, C#, JS & Microsoft SQL.",Multiple / Unknown,"c,sql",,https://github.com/Kuria-byte/Nyumbani-Landlords
NetScan,:mag_right: :iphone: [FYP][GrAL][TFG] An Android app thas scan domains and networks,Web / Mobile,android,,https://github.com/ander94lakx/NetScan
RAG-Anything,"Ask any question to your documents, PDFs, or SQL databases using GenAI for quick and accurate answers.",Multiple / Unknown,sql,,https://github.com/snehitvaddi/RAG-Anything
crc-web-app,"Web Application for the CRC Department, Invertis University built as part of the final year B.Tech. project",Multiple / Unknown,,,https://github.com/Troy96/crc-web-app
MediScribe-OCR,MediScribe: Medical Prescription OCR System College Project,Multiple / Unknown,,,https://github.com/Shriram2005/MediScribe-OCR
Donation-Platform-Latex-Report,"Final year B.Tech project report for a full-stack Donation Platform | LaTeX research paper | System architecture, screenshots, deployment",Multiple / Unknown,,,https://github.com/Priyanshu845438/Donation-Platform-Latex-Report
perlin-noise-image-generator,,Multiple / Unknown,,,https://github.com/DaliborTrampota/perlin-noise-image-generator
TRAFFI,"TRAFFI is a modern traffic junction simulator designed to rethink how we manage urban traffic flow. Powered by precise traffic light logic, it delivers a seamless top-down 2D experience.",Multiple / Unknown,,,https://github.com/Shalev-Aviv/TRAFFI
sentiment-analysis,A Storm topology to perform sentiment analysis on a twitter stream for final-year project at DCU.,Multiple / Unknown,,,https://github.com/RichardKavanagh/sentiment-analysis
Stock-Prediction-React-Project,"The Stock Prediction React Project is a web-based application that utilizes machine learning algorithms and financial data to predict stock prices.  Stock Prediction Project Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",Web / Mobile,react,,https://github.com/Projects-Developer/Stock-Prediction-React-Project
dissertation,Membrane - A Peer-To-Peer Backup System,Multiple / Unknown,,,https://github.com/domhauton/dissertation
DTMF_controlled_car,A robot(car) that is controlled by the DTMF signals produced form a cellular phone.,Multiple / Unknown,,,https://github.com/Some1OutThere/DTMF_controlled_car
holmes2,home for digital image analysis tools/ personal streamlit experiment,Computer Vision / AI,,,https://github.com/Omoshirokunai/holmes2
Genetic-Algorithms-for-Swarm-Parameter-Tuning-Unity,"Swarming behaviour is based on aggregation of simple drones exhibiting basic instinctive reactions to stimuli. However, to achieve overall balanced/interesting behaviour the relative importance of these instincts, as well their internal parameters, must be tuned. In this project, you will learn how to apply Genetic Programming as means of such tuning, and attempt to achieve a series of non-trivial swarm-level behaviours.",Web / Mobile,,,https://github.com/Cheejyg/Genetic-Algorithms-for-Swarm-Parameter-Tuning-Unity
bachelors-thesis,"My Bachelor's thesis in Mechanical Enginnering at Federal University of Technology - Paraná (UTFPR), Ponta Grossa - PR, Brazil.",Multiple / Unknown,,,https://github.com/kagesg/bachelors-thesis
Event_Hosting_Website,This is a java full stack web application project for an event organizers as well as participants.,Multiple / Unknown,java,,https://github.com/abhigodse9556/Event_Hosting_Website
AI-ToolKit,,Multiple / Unknown,,,https://github.com/danielprinceD/AI-ToolKit
PSSCMUSM-Management-System,Final Year Project of Iqbal Adam for Bachelor Degree of Computer Sciences at Universiti Sains Malaysia. The project name is PSSCMUSM Management System. Build specifically for PSSCMUSM as client. The main feature of PMS is attendance system besides student data management and data visualization.,Multiple / Unknown,,,https://github.com/IqbalAdam/PSSCMUSM-Management-System
KIET--final-year-project-Steganography,"Steganography is the practice of concealing a message within another medium, such as an image, audio, or video file, without attracting attention",Computer Vision / AI,,,https://github.com/shaik-muskinvali/KIET--final-year-project-Steganography
flex-lingo,"FlexLingo is a final year IoT project that serves as a flex sensor-based sign language translator. It uses Random Forest and BiLSTM models to interpret real-time hand gestures, translating them into spoken words or text via an Arduino smart glove and a React web interface.",IoT / Embedded,"arduino,iot,react",,https://github.com/yashthakare93/flex-lingo
ArduRMMMQ,Ardu[R]eal-Time Operating System [MM] Magic Mirror [MQ] MQ Gas Sensor - RTOS Project,IoT / Embedded,,,https://github.com/Dentrax/ArduRMMMQ
BrailloPhone_Final_Year_Project,Braillo-Phone Integrated Communication Software for Visually Challenged and Hearing impaired.,Multiple / Unknown,,,https://github.com/sophiagracelydia/BrailloPhone_Final_Year_Project
haulXpress,Final year project of a mobile app for requesting rides for long and heavy duty,Web / Mobile,,,https://github.com/qwamicodes/haulXpress
CarryPillRider,"My Final Year Project, CarryPill: Medication Delivery App for Patients With Follow-Up Medication Appointment (Rider App)",Multiple / Unknown,,,https://github.com/anasboyka/CarryPillRider
Laravel_AlumniManagementSystem,AlumniManagementSystem final year project,Multiple / Unknown,,,https://github.com/ZahidAkbar2370/Laravel_AlumniManagementSystem
Fake-News-Detection-System,"Final Year College Project as Fake News Detection System with PPT, Report, Synopsis, Code and Research paper",Multiple / Unknown,,,https://github.com/Projects-Developer/Fake-News-Detection-System
career-doctor-online-job-portal,"Career Doctor is an online job portal where three types of users are avaiable to manage the system. It is developed by me using PHP framework Laravel along with jQuery, Ajax.",Multiple / Unknown,php,,https://github.com/Anthony-Shoshi/career-doctor-online-job-portal
Bray-Surfing-Clothing-Store,"Bray surfing - Your destination for trendy and stylish clothes! Explore our collection of fashionable clothing for young people, including tops, bottoms, and accessories. Our website offers a seamless shopping experience, with detailed product descriptions and easy navigation. Stay ahead of the fashion curve with Bray surfing! Click the link below.",Multiple / Unknown,,,https://github.com/rafiframadhana/Bray-Surfing-Clothing-Store
Final-year-project---UNIVERSITY,⚫ 𝗨𝗻𝗶𝝼𝗲𝗿𝘀𝗶𝘁𝝲 ⚫ 𝗙𝗶𝗻𝗮𝝞 𝝪𝗲𝗮𝗿 𝗣𝗿𝗼𝗷𝗲𝗰𝘁 (𝗠𝗘𝗥𝝢) ✅,Multiple / Unknown,,,https://github.com/pH0enix46/Final-year-project---UNIVERSITY
BloodDonationCommunity,,Multiple / Unknown,,,https://github.com/ramyashreeshetty/BloodDonationCommunity
Decentralized-voting-system-using-blockchain,"Decentralized voting system developed using Flask, PHP, and JavaScript, featuring a face recognition authentication mechanism. It includes three dashboards: Admin, Miner, and User. Vote transactions are distributed across multiple systems within the network.",Web / Mobile,"flask,javascript,php",,https://github.com/Kushvith/Decentralized-voting-system-using-blockchain
Chatbot,,Multiple / Unknown,,,https://github.com/hanane-dahmani/Chatbot
Video-Library-Management-System,This project can keep record of daily music cassettes/CDs transaction. This program is capable of holding any no. of cassettes/CDs.,Multiple / Unknown,,,https://github.com/nitish-awasthi/Video-Library-Management-System
student-presence-system,A Moroccan student attendance system.,Multiple / Unknown,,,https://github.com/chaxyouxbraoui7/student-presence-system
LIBRARY-SYSTEM-SAP-ABAP,Basic Library Management System using SAP ABAP with Create-Update-Read-Delete operation,Multiple / Unknown,,,https://github.com/sibisr/LIBRARY-SYSTEM-SAP-ABAP
TnP-Portal-YMCA,"A portal for Training and Placement Department of YMCA University of Science & Technology, Faridabad",Multiple / Unknown,,,https://github.com/paras-aggarwal/TnP-Portal-YMCA
MindEase,MindEase is a mental health assistant that combines IoT hardware with AI to provide emotional support. It uses an ESP32 for audio input/output and integrates with AI models and cloud services for natural language understanding and response generation.,IoT / Embedded,iot,,https://github.com/tezodipta/MindEase
OB-LA-DI,"Compiler for the OB-LA-DI programming language, written in Scala.",Multiple / Unknown,,,https://github.com/carloblasi/OB-LA-DI
Btech_Projects,I've delved into leveraging my academic prowess to drive projects that contribute to my career advancement.,Multiple / Unknown,,,https://github.com/Kethasriramya2912/Btech_Projects
AnePhysioBE,REST API backend of the final year project application for physiotherapist written in Spring Boot using Java,IoT / Embedded,java,,https://github.com/david-basic-kantun/AnePhysioBE
expert-succotash,backend of blockchain e-voting with ai fraud detection,Blockchain,blockchain,,https://github.com/PeaceOloruntoba/expert-succotash
GuffGaff-Hub,"This is a simple chat web app created by we three members (Anil, Himani & Sandesh) as our final year project.",Multiple / Unknown,,,https://github.com/anilrajrimal1/GuffGaff-Hub
Digital-Devotee,"The ""DIGITAL DEVOTEE"" bridges traditional temple practices with modern technology, offering efficient solutions for temple operations and a seamless experience for devotees. It preserves religious rituals while enhancing the spiritual journey and supporting the growth of religious institutions.",Multiple / Unknown,,,https://github.com/GMahesh007/Digital-Devotee
Cyber-Security-Final-Year-Projects-Github,"Cyber threat detection using machine learning is a proactive approach to cybersecurity that involves training machine learning algorithms. Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI / ML,,,https://github.com/Projects-Developer/Cyber-Security-Final-Year-Projects-Github
Heart-Disease-Prediction-Using-Machine-Learning,The project involves training a machine learning model (Logistic Regression) to predict whether someone is suffering from a heart disease or not with 87% accuracy.,AI / ML,,,https://github.com/AkashV-MLEngr/Heart-Disease-Prediction-Using-Machine-Learning
Flow,Final year Information Systems project.,Multiple / Unknown,,,https://github.com/arcana19/Flow
Final_project-TYIT,This was My last Year Project . It is a learning Platform which provides Everything On one Place. Scored   180 /200. One of the Good Project of Mine till Now.,Multiple / Unknown,,,https://github.com/soham7998/Final_project-TYIT
Crypto_trading_website_blockchain,"It is Ethereum trading website designed to send and buy ethereum.It is designed with Javascript, ReactJS, node js,css,and solidity.",Blockchain,"css,ethereum,javascript,solidity",,https://github.com/devdasamale/Crypto_trading_website_blockchain
Cyber-Solution-Vulnerability-Scanner,Project Eagle (vulnerability scanner) Project Eagle is a plugin based vulnerabilities scanner with threading support used for detection of low-hanging bugs on mass scale,Multiple / Unknown,,,https://github.com/talha828/Cyber-Solution-Vulnerability-Scanner
Food-order-website,,Multiple / Unknown,,,https://github.com/DevVj-1/Food-order-website
RedCell,Un projet site web de fin d'études qui facilite la procédure pour devenir et trouver un donneur de sang dans tout le Maroc.,Multiple / Unknown,,,https://github.com/baderouaich/RedCell
CarryPill,"My Final Year Project, CarryPill: Medication Delivery App for Patients With Follow-Up Medication Appointment (Patient App)",Multiple / Unknown,,,https://github.com/anasboyka/CarryPill
Hybrid-Steganography-Project,"AES and Steganography Combination Project for B.tech Final Year College Students with Report, PPT, Synopsis and Project Code. AES Programming Involved with Steganography.",Multiple / Unknown,,,https://github.com/Vatshayan/Hybrid-Steganography-Project
Brain-Tumor-prediction-classification-project,"This project implements a deep learning model using Convolutional Neural Networks (CNNs) for the classification of brain tumors in MRI scans. The model is trained on a large dataset of MRI images, which includes 4 types of tumors. {meningioma_tumor , glioma_tumor , pituitary_tumor , no_tumor}",Computer Vision / AI,,,https://github.com/usmanyousaaf/Brain-Tumor-prediction-classification-project
MS24-clone,IADT Y4 - Final Year Project 🥭🎹,Multiple / Unknown,,,https://github.com/Mangoshi/MS24-clone
Imagify,"Imagify is an AI-powered image generation SaaS web application built with the MERN stack. It leverages the Clipdrop API to create high-quality, AI-generated images. The app features a secure login/signup system, a user-friendly interface, and seamless integration between the client and server for an enhanced user experience.",Computer Vision / AI,,,https://github.com/shozabali06/Imagify
EventX,"An innovative end-to-end event management system designed to simplify and streamline the creation, management, and updating of personal and corporate events.",Multiple / Unknown,,,https://github.com/pranith-rao/EventX
Blockchain-Based-Fund-Management-System-For-Indian-Temples,A modern solution bringing transparency and security to temple fund management through blockchain technology,Blockchain,blockchain,,https://github.com/saurabh7071/Blockchain-Based-Fund-Management-System-For-Indian-Temples
BlockChainBasedHealthCareProject,"Our project proposes a patient-controlled Electronic Health Records (EHRs) sharing scheme, leveraging cloud computing and blockchain technology. With fine-grained access control, encrypted EHRs are securely stored and accessed.",Blockchain,blockchain,,https://github.com/parthasarathy27/BlockChainBasedHealthCareProject
dijkstras-animation,An interactive animation to teach Dijkstra's shortest path algorithm,Multiple / Unknown,,,https://github.com/qwertydaz/dijkstras-animation
SisonkeBankingApp,"A java mobile application prototype for Sisonke Bank. The main objectives of the application is to allow clients to create an account, login, view account balances and transfer between accounts.",Web / Mobile,java,,https://github.com/patmakhubo/SisonkeBankingApp
Histogram-Equalization-and-Contrast-Stretching,This project is about Histogram Equalization and Contrast Stretching,Multiple / Unknown,,,https://github.com/amberkakkar01/Histogram-Equalization-and-Contrast-Stretching
Algorithm-Visualizer,Algorithm Visualizer is an educational web app for IT/COMPUTER (Programing Course) student which helps them to understand the algorithms easily by visualizing,Multiple / Unknown,,,https://github.com/SujalPatelx/Algorithm-Visualizer
examproc-app,Exam Proctoring App,Multiple / Unknown,,,https://github.com/imabhinavawasthi/examproc-app
repota,"A CRUD web app for automobile technicians to manage service reports, developed for my BSc dissertation.",Web / Mobile,,,https://github.com/johnshields/repota
super-duper-goggles,DEVELOPMENT OF AN INTERNANL MEMO MANAGEMENT FOR ORGANIZATION COMMUNICATION EFFICIENCY,Multiple / Unknown,,,https://github.com/PeaceOloruntoba/super-duper-goggles
Travl.iOS,Travel app companion for iOS application.,Multiple / Unknown,,,https://github.com/Travel-MY/Travl.iOS
pc-gadgets,,Multiple / Unknown,,,https://github.com/NaimulSakib/pc-gadgets
GitHub-ReadMe-Creator,Elevated documentation accuracy by 30% with a real-time markdown editor for developers,Multiple / Unknown,,,https://github.com/GaganReddyin/GitHub-ReadMe-Creator
special-lamp,AI module of the blockchain e-voting system with AI fraud detection,Blockchain,blockchain,,https://github.com/PeaceOloruntoba/special-lamp
DigiFerro,Program for automation of various ferrography workloads.,Multiple / Unknown,,,https://github.com/peterooch/DigiFerro
B.tech-Project-Image-Recognition-System-,,Multiple / Unknown,,,https://github.com/Vatshayan/B.tech-Project-Image-Recognition-System-
TimetablerApp,Client-side application for a Timetable scheduling system.,Multiple / Unknown,,,https://github.com/ben-mathu/TimetablerApp
Event-Organiser,"Welcome to EventOrganiser, an innovative end-to-end event management system designed to simplify and streamline the creation, management, and updating of personal and corporate events, regardless of their scale. EventOrganiser aims to provide organizations with a comprehensive applicatio.",Multiple / Unknown,,,https://github.com/Yash-Patel26/Event-Organiser
e15-4yp-Mixed-Reality-based-Simulation-Platform-for-Swarm-Robotics,The main objective of this project is to implement a mixed reality-based simulator application with an efficient and reliable architecture for allowing both physical and virtual robots to collaboratively run swarm intelligence based algorithms in real-time,Multiple / Unknown,,,https://github.com/cepdnaclk/e15-4yp-Mixed-Reality-based-Simulation-Platform-for-Swarm-Robotics
Town_Tour_Android_App,"Explore all India city with Town Tour: Discover landmarks, personalized recommendations, guided tours & support local businesses. Your ultimate urban companion!",Multiple / Unknown,,,https://github.com/EngineerAmit/Town_Tour_Android_App
Localized-Disaster-Preparedness-and-Assistance-Network,"A localized web-based platform that serves as a disaster preparedness and assistance network. This platform will connect communities, local authorities, and volunteers, facilitating the sharing of critical information, resources, and assistance during emergencies.",Multiple / Unknown,,,https://github.com/Sharif-Minhaz/Localized-Disaster-Preparedness-and-Assistance-Network
BLOCKCHAIN-PROJECT,"Blockchain project for security system between transaction of money between friends through help of Hashing. Best blockchain project with PPT, Report, Synopsis, and Project code.",Blockchain,blockchain,,https://github.com/Vatshayan/BLOCKCHAIN-PROJECT
Blog-Portal-Backend,"Full Stack Blog Portal Application (Spring Boot, ReactJS, MongoDB, Docker, Kubernetes, Terraform)",Web / Mobile,"docker,kubernetes,mongodb",,https://github.com/Blog-Portal/Blog-Portal-Backend
Raw2Plate-Fuel-Plus,University Assignment (Final Year Project),Multiple / Unknown,,,https://github.com/NightfuryEquinn/Raw2Plate-Fuel-Plus
chandassu,Prosody analysis and identification of metrics for Kannada verses using rule-based approach.,Multiple / Unknown,,,https://github.com/anuprshetty/chandassu
FYP_Malaysia-CPI-Forecasting,This Final Year Project compares the performance of four machine and deep learning models in predicting Malaysia's CPI using various input structures.,AI / ML,,,https://github.com/Leyan0109/FYP_Malaysia-CPI-Forecasting
Co2-Emission-Prediction-Using-Machine-learning,"The CO2 Emission Prediction project aims to develop a machine learning model that can accurately predict CO2 emissions. Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI / ML,,,https://github.com/Projects-Developer/Co2-Emission-Prediction-Using-Machine-learning
glowing-robot,SENTIMENT ANALYSIS ON THE PERCEPTION OF PUBLIC- PRIVATE UNIVERSITIES WITH THE FOCUS ON INFRASTRUCTURE.,Multiple / Unknown,,,https://github.com/PeaceOloruntoba/glowing-robot
Corival,Final Year project associated with Jabalpur Engineering College.,Multiple / Unknown,,,https://github.com/ritin0204/Corival
Mid-term-Deliverables,Final Year Project ( Mid-Term Delivery Semester - 7 ),Multiple / Unknown,,,https://github.com/arkapg211002/Mid-term-Deliverables
GC16_Project_Code,BE Project Repository - Inattentive Driver Identification Smart System (IDISS),Multiple / Unknown,,,https://github.com/Janhavi-2001/GC16_Project_Code
Smart-Route-Monitoring-App,"Smart Route Monitoring is a safety-focused React Native app that simulates route travel using checkpoints and triggers SOS alerts if the user misses a checkpoint. Features include Google Maps integration, dual navigation modes, and native SMS support for emergency response.",Web / Mobile,react,,https://github.com/Neeraj-Koshyari/Smart-Route-Monitoring-App
